ts_code,symbol,name,area,industry,list_date
000882.SZ,882,华联股份,北京,其他商业,19980616
000883.SZ,883,湖北能源,湖北,水力发电,19980519
000885.SZ,885,城发环境,河南,环境保护,19990319
000886.SZ,886,海南高速,海南,区域地产,19980123
000887.SZ,887,中鼎股份,安徽,汽车配件,19981203
000888.SZ,888,峨眉山Ａ,四川,旅游景点,19971021
000889.SZ,889,中嘉博创,河北,通信设备,19971218
000890.SZ,890,法尔胜,江苏,环境保护,19990119
000892.SZ,892,欢瑞世纪,重庆,影视音像,19990115
000893.SZ,893,亚钾国际,广东,农药化肥,19981224
000895.SZ,895,双汇发展,河南,食品,19981210
001896.SZ,1896,豫能控股,河南,火力发电,19980122
000897.SZ,897,津滨发展,天津,区域地产,19990422
000898.SZ,898,鞍钢股份,辽宁,普钢,19971225
000899.SZ,899,赣能股份,江西,火力发电,19971126
000900.SZ,900,现代投资,湖南,路桥,19990128
000901.SZ,901,航天科技,黑龙江,汽车配件,19990401
000902.SZ,902,新洋丰,湖北,农药化肥,19990408
000905.SZ,905,厦门港务,福建,港口,19990429
000906.SZ,906,浙商中拓,浙江,仓储物流,19990707
000910.SZ,910,大亚圣象,江苏,家居用品,19990630
000912.SZ,912,泸天化,四川,农药化肥,19990603
000913.SZ,913,钱江摩托,浙江,摩托车,19990514
000915.SZ,915,华特达因,山东,化学制药,19990609
000917.SZ,917,电广传媒,湖南,广告包装,19990325
000919.SZ,919,金陵药业,江苏,化学制药,19991118
000920.SZ,920,沃顿科技,贵州,塑料,19990616
000921.SZ,921,海信家电,山东,家用电器,19990713
000922.SZ,922,佳电股份,黑龙江,电气设备,19990618
000923.SZ,923,河钢资源,河北,普钢,19990714
000925.SZ,925,众合科技,浙江,运输设备,19990611
000926.SZ,926,福星股份,湖北,区域地产,19990618
000927.SZ,927,中国铁物,天津,仓储物流,19990727
000928.SZ,928,中钢国际,吉林,建筑工程,19990312
000930.SZ,930,中粮科技,安徽,农业综合,19990712
000931.SZ,931,中关村,北京,化学制药,19990712
000932.SZ,932,华菱钢铁,湖南,普钢,19990803
000933.SZ,933,神火股份,河南,铝,19990831
000935.SZ,935,四川双马,四川,水泥,19990824
000936.SZ,936,华西股份,江苏,化纤,19990810
000937.SZ,937,冀中能源,河北,煤炭开采,19990909
000938.SZ,938,紫光股份,北京,IT设备,19991104
000948.SZ,948,南天信息,云南,软件服务,19991014
000949.SZ,949,新乡化纤,河南,化纤,19991021
000950.SZ,950,重药控股,重庆,医药商业,19990916
000951.SZ,951,中国重汽,山东,汽车整车,19991125
000952.SZ,952,广济药业,湖北,化学制药,19991112
000953.SZ,953,河化股份,广西,化学制药,19991202
000955.SZ,955,欣龙控股,海南,纺织,19991209
000957.SZ,957,中通客车,山东,汽车整车,20000113
000958.SZ,958,电投产融,河北,新型电力,19991223
000959.SZ,959,首钢股份,北京,普钢,19991216
000960.SZ,960,锡业股份,云南,小金属,20000221
000962.SZ,962,东方钽业,宁夏,小金属,20000120
000963.SZ,963,华东医药,浙江,化学制药,20000127
000965.SZ,965,天保基建,天津,区域地产,20000406
000966.SZ,966,长源电力,湖北,火力发电,20000316
000967.SZ,967,盈峰环境,浙江,环境保护,20000330
000968.SZ,968,蓝焰控股,山西,石油开采,20000622
000969.SZ,969,安泰科技,北京,小金属,20000529
000970.SZ,970,中科三环,北京,矿物制品,20000420
